name,lat,long,count,date,certainty_index
"Natural History Museum Library, London",51.49684189,-0.1762706424,11.0,2007-08-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,1916.0,2007-09-30 00:00:00,1
UCLA,34.071863589276,-118.2538418,1640.0,2007-09-30 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,194.0,2007-09-30 00:00:00,1
Columbia University,40.80657713,-73.96320572,492.0,2007-09-30 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,2574.0,2007-09-30 00:00:00,1
UIUC,40.10440926,-88.22933583,144.0,2007-09-30 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,23.0,2007-09-30 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,24.0,2007-09-30 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2713.0,2007-10-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,1592.0,2007-10-31 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,467.0,2007-10-31 00:00:00,1
Columbia University,40.80657713,-73.96320572,674.0,2007-10-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,2603.0,2007-10-31 00:00:00,1
UIUC,40.10440926,-88.22933583,828.0,2007-10-31 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,7.0,2007-10-31 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,36.0,2007-10-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,3033.0,2007-11-30 00:00:00,1
UCLA,34.071863589276,-118.2538418,1569.0,2007-11-30 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,463.0,2007-11-30 00:00:00,1
Library of Congress,38.8895692,-77.0045688,7.0,2007-11-30 00:00:00,1
Columbia University,40.80657713,-73.96320572,328.0,2007-11-30 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1837.0,2007-11-30 00:00:00,1
UIUC,40.10440926,-88.22933583,298.0,2007-11-30 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,53.0,2007-11-30 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,3.0,2007-11-30 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,26.0,2007-11-30 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2466.0,2007-12-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,1115.0,2007-12-31 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,298.0,2007-12-31 00:00:00,1
Columbia University,40.80657713,-73.96320572,723.0,2007-12-31 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,14.0,2007-12-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1398.0,2007-12-31 00:00:00,1
UIUC,40.10440926,-88.22933583,225.0,2007-12-31 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,34.0,2007-12-31 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,11.0,2007-12-31 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,2.0,2007-12-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2394.0,2008-01-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,1653.0,2008-01-31 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,672.0,2008-01-31 00:00:00,1
Columbia University,40.80657713,-73.96320572,1132.0,2008-01-31 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,7.0,2008-01-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1552.0,2008-01-31 00:00:00,1
UIUC,40.10440926,-88.22933583,389.0,2008-01-31 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,125.0,2008-01-31 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,10.0,2008-01-31 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,13.0,2008-01-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,3112.0,2008-02-29 00:00:00,1
UCLA,34.071863589276,-118.2538418,2106.0,2008-02-29 00:00:00,1
